"동별(1)",동별(2),2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),인구밀도,인구밀도,세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),인구밀도,인구밀도
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,인구밀도 (명/㎢),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,인구밀도 (명/㎢)
"합계",소계,4469158,9659322,4664900,4994422,9414093,4557609,4856484,245229,107291,137938,2,1706138,4475726,9655918,4660459,4995459,9407540,4552501,4855039,248378,107958,140420,2,1725801
"합계",종로구,72507,151349,72433,78916,140397,67834,72563,10952,4599,6353,2,28383,72304,151127,72222,78905,139945,67625,72320,11182,4597,6585,2,28610
"합계",중구,64375,132054,63800,68254,121441,58857,62584,10613,4943,5670,2,25546,64609,131825,63661,68164,121405,58788,62617,10420,4873,5547,2,25737
"합계",용산구,109679,232069,112390,119679,217288,104357,112931,14781,8033,6748,2,39717,109360,230692,111646,119046,216152,103804,112348,14540,7842,6698,2,39972
"합계",성동구,133484,286564,138719,147845,279374,135723,143651,7190,2996,4194,2,48514,133366,285543,138109,147434,278366,135143,143223,7177,2966,4211,2,48988
"합계",광진구,169857,350820,167728,183092,336169,161755,174414,14651,5973,8678,2,55418,170388,351959,168059,183900,336604,161892,174712,15355,6167,9188,2,56173
"합계",동대문구,171703,355667,172342,183325,338115,166040,172075,17552,6302,11250,2,65657,173091,359113,173936,185177,341238,167468,173770,17875,6468,11407,2,66440
"합계",중랑구,187981,389316,190726,198590,384272,188744,195528,5044,1982,3062,2,76968,187900,387940,189874,198066,382797,187844,194953,5143,2030,3113,2,77949
"합계",성북구,197831,441065,210367,230698,429142,206043,223099,11923,4324,7599,2,78972,197607,440089,209742,230347,427671,205245,222426,12418,4497,7921,2,79739
"합계",강북구,144447,295773,142845,152928,291384,141302,150082,4389,1543,2846,2,67566,144269,294804,142202,152602,290155,140589,149566,4649,1613,3036,2,68119
"합계",도봉구,138188,311386,150809,160577,308986,150001,158985,2400,808,1592,2,68682,138210,310133,150104,160029,307740,149281,158459,2393,823,1570,2,69508
"합계",노원구,217858,504641,242148,262493,500104,240221,259883,4537,1927,2610,2,94102,218367,504423,241959,262464,499989,240084,259905,4434,1875,2559,2,95384
"합계",은평구,213827,467295,221929,245366,463298,220342,242956,3997,1587,2410,2,91395,215776,471155,223585,247570,467098,221977,245121,4057,1608,2449,2,92820
"합계",서대문구,147226,321726,150883,170843,308122,146570,161552,13604,4313,9291,2,57179,147333,321379,150451,170928,307441,146119,161322,13938,4332,9606,2,57632
"합계",마포구,181097,376285,174796,201489,365111,170813,194298,11174,3983,7191,2,56964,181192,375639,174343,201296,364257,170296,193961,11382,4047,7335,2,57462
"합계",양천구,181210,441517,215469,226048,438353,214173,224180,3164,1296,1868,2,74386,181072,440591,214964,225627,437401,213648,223753,3190,1316,1874,2,75420
"합계",강서구,274521,572382,274255,298127,566839,271822,295017,5543,2433,3110,2,99690,274249,569978,272961,297017,564339,270491,293848,5639,2470,3169,2,100929
"합계",구로구,184546,417774,205983,211791,394833,193729,201104,22941,12254,10687,2,78150,184467,416815,205465,211350,393929,193258,200671,22886,12207,10679,2,79150
"합계",금천구,120578,242567,122481,120086,229235,115396,113839,13332,7085,6247,2,44242,120650,242076,122132,119944,228611,115038,113573,13465,7094,6371,2,44793
"합계",영등포구,190482,398842,196360,202482,376139,184615,191524,22703,11745,10958,2,66362,190761,398290,195857,202433,375586,184175,191411,22704,11682,11022,2,66975
"합계",동작구,187058,390843,188300,202543,380622,184103,196519,10221,4197,6024,2,69350,187199,390740,188222,202518,380154,183880,196274,10586,4342,6244,2,69944
"합계",관악구,286647,502430,251215,251215,487192,245081,242111,15238,6134,9104,2,83932,286045,500582,250388,250194,485172,244198,240974,15410,6190,9220,2,84664
"합계",서초구,168590,408753,194893,213860,404484,192850,211634,4269,2043,2226,2,63822,169621,410766,195790,214976,406404,193703,212701,4362,2087,2275,2,64761
"합계",강남구,236935,542327,259144,283183,537139,256737,280402,5188,2407,2781,2,84271,238647,546291,261108,285183,540957,258656,282301,5334,2452,2882,2,85288
"합계",송파구,285798,662872,318582,344290,657101,316010,341091,5771,2572,3199,2,106281,286123,661515,317792,343723,655744,315224,340520,5771,2568,3203,2,107605
"합계",강동구,202733,463005,226303,236702,458953,224491,234462,4052,1812,2240,2,80589,203120,462453,225887,236566,458385,224075,234310,4068,1812,2256,2,81739
